Measures,Values
Recall@1,0.00021062303911132603
NDCG@1,0.0012413735061437467
Recall@5,0.0008205452796110843
NDCG@5,0.001076943789750983
Recall@10,0.00155687758537413
NDCG@10,0.0013322398785366098
Recall@20,0.0029141513283465017
NDCG@20,0.0018932773762698348
Recall@40,0.004990919931004913
NDCG@40,0.0026216743777949785
Recall@50,0.00591564028035235
NDCG@50,0.0029180905558975007
Recall@100,0.009910512856151072
NDCG@100,0.004035543681594367
trainingTime,18.97507619857788
testingTime,26.631478309631348
AverageTestTimePerUser,0.0005603324000511561
